Sample,SRA identifier,Type,Time,Number-of-days,Gut,Reads
T1rangPM,SRR15276518,T._rangeli,T1,1,PM,7.70124
T1rangAM,SRR15276519,T._rangeli,T1,1,AM,42.786669
T0ContPM,SRR15276520,Control,T0,0,PM,12.945862
T0ContAM,SRR15276521,Control,T0,0,AM,33.104564
T1cruzPM,SRR15276522,T._cruzi,T1,1,PM,9.564389
T1cruzAM,SRR15276523,T._cruzi,T1,1,AM,18.341077
T1ContAM,SRR15276524,Control,T1,1,AM,19.498048
T1ContPM,SRR15276525,Control,T1,1,PM,9.575527
T0rangPM,SRR15276526,T._rangeli,T0,0,PM,8.858336
T0rangAM,SRR15276527,T._rangeli,T0,0,AM,35.555314
T0cruzPM,SRR15276528,T._cruzi,T0,0,PM,9.351766
T7rangAM,SRR15276529,T._rangeli,T7,7,AM,12.138032
T7rangPM,SRR15276530,T._rangeli,T7,7,PM,6.91436
T7cruzPM,SRR15276531,T._cruzi,T7,7,PM,7.32433
T7cruzAM,SRR15276532,T._cruzi,T7,7,AM,13.686443
T7ContPM,SRR15276533,Control,T7,7,PM,8.173719
T7ContAM,SRR15276534,Control,T7,7,AM,18.921651
T3rangAM,SRR15276535,T._rangeli,T3,3,AM,21.104708
T3rangPM,SRR15276536,T._rangeli,T3,3,PM,8.744824
T3cruzPM,SRR15276537,T._cruzi,T3,3,PM,9.07962
T3cruzAM,SRR15276538,T._cruzi,T3,3,AM,11.656514
T0cruzAM,SRR15276539,T._cruzi,T0,0,AM,19.604168
T3ContPM,SRR15276540,Control,T3,3,PM,6.194154
T3ContAM,SRR15276541,Control,T3,3,AM,9.339014
T2rangPM,SRR15276542,T._rangeli,T2,2,PM,6.284232
T2rangAM,SRR15276543,T._rangeli,T2,2,AM,25.297229
T2cruzPM,SRR15276544,T._cruzi,T2,2,PM,9.968886
T2cruzAM,SRR15276545,T._cruzi,T2,2,AM,15.686465
T2ContPM,SRR15276546,Control,T2,2,PM,6.211867
T2ContAM,SRR15276547,Control,T2,2,AM,15.033813
