name	taxonomy_id	taxonomy_lvl	SRR15276518_phylum_filtered.bracken_num	SRR15276518_phylum_filtered.bracken_frac	SRR15276519_phylum_filtered.bracken_num	SRR15276519_phylum_filtered.bracken_frac	SRR15276520_phylum_filtered.bracken_num	SRR15276520_phylum_filtered.bracken_frac	SRR15276521_phylum_filtered.bracken_num	SRR15276521_phylum_filtered.bracken_frac	SRR15276522_phylum_filtered.bracken_num	SRR15276522_phylum_filtered.bracken_frac	SRR15276523_phylum_filtered.bracken_num	SRR15276523_phylum_filtered.bracken_frac	SRR15276524_phylum_filtered.bracken_num	SRR15276524_phylum_filtered.bracken_frac	SRR15276525_phylum_filtered.bracken_num	SRR15276525_phylum_filtered.bracken_frac	SRR15276526_phylum_filtered.bracken_num	SRR15276526_phylum_filtered.bracken_frac	SRR15276527_phylum_filtered.bracken_num	SRR15276527_phylum_filtered.bracken_frac	SRR15276528_phylum_filtered.bracken_num	SRR15276528_phylum_filtered.bracken_frac	SRR15276529_phylum_filtered.bracken_num	SRR15276529_phylum_filtered.bracken_frac	SRR15276530_phylum_filtered.bracken_num	SRR15276530_phylum_filtered.bracken_frac	SRR15276531_phylum_filtered.bracken_num	SRR15276531_phylum_filtered.bracken_frac	SRR15276532_phylum_filtered.bracken_num	SRR15276532_phylum_filtered.bracken_frac	SRR15276533_phylum_filtered.bracken_num	SRR15276533_phylum_filtered.bracken_frac	SRR15276534_phylum_filtered.bracken_num	SRR15276534_phylum_filtered.bracken_frac	SRR15276535_phylum_filtered.bracken_num	SRR15276535_phylum_filtered.bracken_frac	SRR15276536_phylum_filtered.bracken_num	SRR15276536_phylum_filtered.bracken_frac	SRR15276537_phylum_filtered.bracken_num	SRR15276537_phylum_filtered.bracken_frac	SRR15276538_phylum_filtered.bracken_num	SRR15276538_phylum_filtered.bracken_frac	SRR15276539_phylum_filtered.bracken_num	SRR15276539_phylum_filtered.bracken_frac	SRR15276540_phylum_filtered.bracken_num	SRR15276540_phylum_filtered.bracken_frac	SRR15276541_phylum_filtered.bracken_num	SRR15276541_phylum_filtered.bracken_frac	SRR15276542_phylum_filtered.bracken_num	SRR15276542_phylum_filtered.bracken_frac	SRR15276543_phylum_filtered.bracken_num	SRR15276543_phylum_filtered.bracken_frac	SRR15276544_phylum_filtered.bracken_num	SRR15276544_phylum_filtered.bracken_frac	SRR15276545_phylum_filtered.bracken_num	SRR15276545_phylum_filtered.bracken_frac	SRR15276546_phylum_filtered.bracken_num	SRR15276546_phylum_filtered.bracken_frac	SRR15276547_phylum_filtered.bracken_num	SRR15276547_phylum_filtered.bracken_frac
Actinomycetota	201174	P	258891	0.47322	2917473	0.73499	2248475	0.74385	2987829	0.92365	137254	0.05373	1001422	0.33337	1400085	0.59838	415042	0.54440	892878	0.83466	3569814	0.94373	412384	0.63249	1114288	0.28489	162024	0.09989	404643	0.25921	3009427	0.50521	317589	0.26411	1113814	0.47409	735159	0.14852	162376	0.04131	360010	0.15699	164518	0.03216	2291403	0.90780	135369	0.23357	376666	0.19159	73922	0.05935	1700064	0.44928	103328	0.05179	735088	0.21454	59524	0.09350	856668	0.37835
Bacillota	1239	P	243232	0.44460	897689	0.22615	565161	0.18697	62404	0.01929	2344554	0.91787	1856971	0.61819	765645	0.32723	243360	0.31921	107657	0.10064	72597	0.01919	88453	0.13566	2545121	0.65071	1414143	0.87183	1100439	0.70492	2592459	0.43521	797239	0.66298	1021729	0.43489	3816051	0.77095	3629133	0.92321	1798976	0.78448	3851678	0.75297	35767	0.01417	293967	0.50722	1182217	0.60134	1116045	0.89601	1802051	0.47623	1768407	0.88644	2281285	0.66580	405941	0.63767	1204390	0.53193
Pseudomonadota	1224	P	29930	0.05471	113695	0.02864	168872	0.05587	151075	0.04670	55316	0.02166	127126	0.04232	155281	0.06637	84220	0.11047	52144	0.04874	103429	0.02734	133136	0.20420	223448	0.05713	32521	0.02005	39521	0.02532	304255	0.05108	69820	0.05806	174182	0.07414	369681	0.07469	126114	0.03208	115508	0.05037	1084213	0.21195	159346	0.06313	136591	0.23568	392311	0.19955	41923	0.03366	255730	0.06758	104152	0.05221	391812	0.11435	157615	0.24759	186109	0.08220
Bacteroidota	976	P	9173	0.01677	22135	0.00558	11368	0.00376	18167	0.00562	10756	0.00421	11536	0.00384	11349	0.00485	11249	0.01475	8335	0.00779	19996	0.00529	10763	0.01651	10839	0.00277	7785	0.00480	8346	0.00535	10055	0.00169	9955	0.00828	16046	0.00683	16470	0.00333	8014	0.00204	9837	0.00429	9221	0.00180	12731	0.00504	8125	0.01402	9029	0.00459	8303	0.00667	14911	0.00394	11611	0.00582	11315	0.00330	8744	0.01374	10510	0.00464
Campylobacterota	29547	P	1715	0.00313	3947	0.00099	1837	0.00061	3323	0.00103	1908	0.00075	1978	0.00066	2018	0.00086	2009	0.00264	1437	0.00134	3660	0.00097	1919	0.00294	1739	0.00044	1384	0.00085	1376	0.00088	1500	0.00025	1891	0.00157	2401	0.00102	2705	0.00055	1246	0.00032	1658	0.00072	1535	0.00030	2210	0.00088	1403	0.00242	1570	0.00080	1468	0.00118	2554	0.00067	2080	0.00104	1984	0.00058	1687	0.00265	1908	0.00084
Cyanobacteriota	1117	P	1642	0.00300	3862	0.00097	2320	0.00077	3012	0.00093	1775	0.00069	2090	0.00070	2034	0.00087	2250	0.00295	1644	0.00154	3535	0.00093	1949	0.00299	2057	0.00053	1347	0.00083	1525	0.00098	2196	0.00037	1885	0.00157	2786	0.00119	2915	0.00059	1482	0.00038	1748	0.00076	1811	0.00035	2199	0.00087	1471	0.00254	1707	0.00087	1457	0.00117	2653	0.00070	2097	0.00105	2040	0.00060	1648	0.00259	1849	0.00082
Mycoplasmatota	544448	P	1390	0.00254	3288	0.00083	1669	0.00055	2868	0.00089	1616	0.00063	1630	0.00054	1516	0.00065	1841	0.00241	1255	0.00117	2855	0.00075	1600	0.00245	1513	0.00039	1250	0.00077	1266	0.00081	1333	0.00022	1572	0.00131	1817	0.00077	2188	0.00044	1191	0.00030	1552	0.00068	1286	0.00025	1785	0.00071	1243	0.00214	1369	0.00070	1350	0.00108	2119	0.00056	1699	0.00085	1579	0.00046	1441	0.00226	1593	0.00070
Euryarchaeota	28890	P	1107	0.00202	2612	0.00066	11717	0.00388	1982	0.00061	1174	0.00046	1152	0.00038	1864	0.00080	2420	0.00317	3074	0.00287	2355	0.00062	1795	0.00275	6834	0.00175	1592	0.00098	2770	0.00177	17803	0.00299	2552	0.00212	8352	0.00355	2407	0.00049	1455	0.00037	2801	0.00122	1083	0.00021	1587	0.00063	1393	0.00240	1099	0.00056	1108	0.00089	1626	0.00043	1573	0.00079	1285	0.00038	0	0.00000	1177	0.00052
Spirochaetota	203691	P	0	0.00000	1796	0.00045	1020	0.00034	1516	0.00047	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	1743	0.00046	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	1129	0.00048	1169	0.00024	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	1179	0.00031	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Fusobacteriota	32066	P	0	0.00000	1689	0.00043	0	0.00000	1506	0.00047	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	1542	0.00041	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	1043	0.00021	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	1106	0.00029	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Thermodesulfobacteriota	200940	P	0	0.00000	1234	0.00031	1830	0.00061	1123	0.00035	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	1121	0.00030	0	0.00000	1107	0.00028	0	0.00000	0	0.00000	2747	0.00046	0	0.00000	1603	0.00068	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Myxococcota	2818505	P	0	0.00000	0	0.00000	5613	0.00186	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	1322	0.00124	0	0.00000	0	0.00000	3190	0.00082	0	0.00000	1201	0.00077	9015	0.00151	0	0.00000	3664	0.00156	0	0.00000	0	0.00000	1113	0.00049	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Planctomycetota	203682	P	0	0.00000	0	0.00000	1824	0.00060	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	1137	0.00029	0	0.00000	0	0.00000	2773	0.00047	0	0.00000	1852	0.00079	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Acidobacteriota	57723	P	0	0.00000	0	0.00000	1061	0.00035	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	1749	0.00029	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Deinococcota	1297	P	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	1457	0.00024	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	17096	0.00677	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
